Record Number,Name,Core ID,Code,Type,Status,Holder,Grant date,Expiry date,Cadastral units (CU),Area (km²),States,LGAs,Minerals
1,UMUAHIA NORTH,38302,SSML-038302,Small Scale Mining Lease,Blocked,EJIKE PAULINUS IRECHUKWU,16/08/2022,15/08/2027,2,0.43,Abia,Umuahia North,Sand
2,ABIA,63089,QLS-063089,Quarry Lease,Valid,GREATWALL CONSTRUCTION COMPANY NIGERIA LIMITED,23/10/2024,22/10/2029,8,1.7,Abia,Umu-Nneochi,Granite
3,,62554,QLS-062554,Quarry Lease,Valid,LIMEI INTERNATIONAL CO. NIGERIA LIMITED,26/08/2024,25/08/2029,9,1.91,Abia,Umu-Nneochi,Granite
4,,21991,QLS-021991,Quarry Lease,Released,CATHYS SUITE LTD,23/03/2016,22/03/2021,1,0.21,Abia,Umu-Nneochi,Granite
5,,22827,QLS-022827,Quarry Lease,Released,LCC SYNERGY NIG LIMITED,10/10/2016,09/10/2026,4,0.85,Abia,Umu-Nneochi,Granite
6,UMUAHIA SOUTH,63193,SSML-063193,Small Scale Mining Lease,Valid,NDUBUSI PRINCE SAMUEL,15/11/2024,14/11/2029,6,1.28,Abia,Umuahia South,"Clay,Sand"
7,IKWUANO,37812,QLS-037812,Quarry Lease,Blocked,"GODWYN MINES, LTD",09/06/2022,08/06/2027,4,0.85,Abia,Ikwuano,Sand
8,,35536,SSML-035536,Small Scale Mining Lease,Valid,AMBER-TONE LOGISTICS LIMITED,15/10/2021,14/10/2026,4,0.85,Abia,Umu-Nneochi,"Lead,Zinc"
9,,41246,EL-041246,Exploration License,Valid,IKEJI-ILE HILL TOP MINES LIMITED,13/03/2024,12/03/2027,210,44.71,"Abia, Akwa Ibom","Ika, Ukwa East, Etim Ekpo",Gold
10,SONG,62609,EL-062609,Exploration License,Valid,DE SOLID H T C MINING & SUPPLIER LTD,15/10/2024,14/10/2027,100,21.1,Adamawa,Song,"Copper,Lead,Zinc,Fluorspar/fluorite"
11,,31490,SSML-031490,Small Scale Mining Lease,Blocked,M.Z. DIAMOND AND COMPANY LIMITED,29/07/2020,28/07/2025,5,1.06,Adamawa,Jada,Gold
12,,33973,SSML-033973,Small Scale Mining Lease,Blocked,ARIF SYNERGY INTERNAIONAL LTD,21/04/2021,20/04/2026,6,1.27,Adamawa,Toungo,Graphite
